,prop,subevent,role,causation,syntax,lr,batch_size,epoch,finished,exp,mean_rank,mrr,hit@1,hit@3,hit@10
0,0,0,0,1,simple_rdf_sp,1e-05,256,10,True,kg_base_prop_0_subevent_0_role_0_causation_1_syntax_simple_rdf_sp_lr1e-05_bs256_ep10,42.8539,0.4417,0.3277,0.501,0.6566
1,0,0,0,0,simple_rdf_prop,1e-05,128,1,True,kg_base_prop_0_subevent_0_role_0_causation_0_syntax_simple_rdf_prop_lr1e-05_bs128_ep1,166.5728,0.0978,0.0,0.1311,0.2573
2,0,0,0,1,simple_rdf_sp,1e-05,128,1,True,kg_base_prop_0_subevent_0_role_0_causation_1_syntax_simple_rdf_sp_lr1e-05_bs128_ep1,358.31,0.1261,0.0501,0.1566,0.2724
3,0,1,0,1,simple_rdf_reification,3e-05,512,1,True,kg_base_prop_0_subevent_1_role_0_causation_1_syntax_simple_rdf_reification_lr3e-05_bs512_ep1,806.1797,0.2743,0.2357,0.2871,0.3443
4,0,0,0,1,simple_rdf_prop,1e-05,1024,1,True,kg_base_prop_0_subevent_0_role_0_causation_1_syntax_simple_rdf_prop_lr1e-05_bs1024_ep1,809.0539,0.0215,0.0,0.0143,0.0605
5,0,0,0,1,simple_rdf_reification,1e-05,256,10,True,kg_base_prop_0_subevent_0_role_0_causation_1_syntax_simple_rdf_reification_lr1e-05_bs256_ep10,152.2906,0.3438,0.2918,0.3725,0.4276
6,0,0,0,0,simple_rdf_prop,5e-05,256,1,True,kg_base_prop_0_subevent_0_role_0_causation_0_syntax_simple_rdf_prop_lr5e-05_bs256_ep1,108.0874,0.1492,0.0049,0.2573,0.3787
7,0,0,0,1,simple_rdf_reification,3e-05,512,1,True,kg_base_prop_0_subevent_0_role_0_causation_1_syntax_simple_rdf_reification_lr3e-05_bs512_ep1,494.9213,0.1869,0.1466,0.1974,0.2677
8,0,1,0,1,simple_rdf_sp,1e-05,512,1,True,kg_base_prop_0_subevent_1_role_0_causation_1_syntax_simple_rdf_sp_lr1e-05_bs512_ep1,736.4873,0.1088,0.05,0.1188,0.2359
9,1,0,0,1,simple_rdf_sp,1e-05,512,1,True,kg_base_prop_1_subevent_0_role_0_causation_1_syntax_simple_rdf_sp_lr1e-05_bs512_ep1,615.3547,0.0634,0.0063,0.0631,0.1764
10,0,1,0,0,simple_rdf_prop,1e-05,256,10,True,kg_base_prop_0_subevent_1_role_0_causation_0_syntax_simple_rdf_prop_lr1e-05_bs256_ep10,53.8884,0.4484,0.3169,0.5134,0.7217
11,0,0,0,1,simple_rdf_prop,1e-05,512,1,True,kg_base_prop_0_subevent_0_role_0_causation_1_syntax_simple_rdf_prop_lr1e-05_bs512_ep1,588.1308,0.0406,0.0,0.0341,0.1308
12,1,0,0,1,simple_rdf_reification,1e-05,512,1,True,kg_base_prop_1_subevent_0_role_0_causation_1_syntax_simple_rdf_reification_lr1e-05_bs512_ep1,680.0919,0.0741,0.0347,0.0592,0.1716
13,0,1,0,0,simple_rdf_prop,3e-05,512,1,True,kg_base_prop_0_subevent_1_role_0_causation_0_syntax_simple_rdf_prop_lr3e-05_bs512_ep1,85.625,0.3057,0.2039,0.3557,0.4837
14,1,0,0,1,simple_rdf_reification,5e-05,512,1,True,kg_base_prop_1_subevent_0_role_0_causation_1_syntax_simple_rdf_reification_lr5e-05_bs512_ep1,166.7985,0.3184,0.2452,0.3472,0.4597
15,0,1,0,1,simple_rdf_reification,5e-05,512,1,True,kg_base_prop_0_subevent_1_role_0_causation_1_syntax_simple_rdf_reification_lr5e-05_bs512_ep1,780.7886,0.2937,0.2567,0.3053,0.3602
16,1,0,0,0,simple_rdf_prop,5e-05,512,1,True,kg_base_prop_1_subevent_0_role_0_causation_0_syntax_simple_rdf_prop_lr5e-05_bs512_ep1,215.9899,0.2353,0.1479,0.2513,0.4275
17,0,0,0,1,simple_rdf_sp,5e-05,512,1,True,kg_base_prop_0_subevent_0_role_0_causation_1_syntax_simple_rdf_sp_lr5e-05_bs512_ep1,379.9812,0.1297,0.0522,0.1608,0.2766
18,1,0,0,1,simple_rdf_sp,5e-05,512,1,True,kg_base_prop_1_subevent_0_role_0_causation_1_syntax_simple_rdf_sp_lr5e-05_bs512_ep1,193.2139,0.2814,0.1937,0.3049,0.4582
19,0,0,0,1,simple_rdf_reification,1e-05,512,1,True,kg_base_prop_0_subevent_0_role_0_causation_1_syntax_simple_rdf_reification_lr1e-05_bs512_ep1,911.7266,0.0455,0.0019,0.0901,0.1295
